Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,-,"1,021.00","1,050.00","1,021.00","1,048.00","1,043.89","2,042.00","1,039.38","1,048.00","2,131,625.60",45,8.62,29.00,0.83,2.84,0.39,"1,087.92","1,117.88","1,491.00",690.90
ADBL,-,280.00,283.00,278.50,282.17,281.14,"18,208.00",280.58,282.00,"5,119,018.80",165,1.59,4.50,0.57,1.62,0.36,327.71,330.50,428.40,223.00
AHL,-,734.00,734.00,706.20,723.84,724.11,"3,571.00",719.98,720.00,"2,585,781.40",53,3.86,27.80,0.54,3.94,-0.04,733.40,698.27,904.00,420.00
AHPC,-,245.00,253.00,245.00,251.32,249.29,"118,818.00",245.16,251.00,"29,619,890.40",367,6.16,8.00,2.51,3.27,0.81,266.62,253.29,349.00,149.00
AKJCL,-,195.60,203.00,195.60,201.55,201.16,"114,124.00",199.49,202.40,"22,956,947.90",408,2.06,7.40,1.03,3.78,0.19,207.16,210.22,274.90,150.90
AKPL,-,216.10,225.00,216.10,223.09,221.72,"102,058.00",218.99,223.50,"22,627,969.60",395,4.10,8.90,1.87,4.12,0.62,242.95,234.93,326.00,157.20
ALBSL,-,816.00,843.00,781.00,835.65,799.74,"8,276.00",816.51,843.00,"6,618,632.70",121,19.14,62.00,2.34,7.94,4.30,912.27,959.75,"1,177.00",694.20
ALICL,-,718.00,730.90,715.00,728.13,720.71,"17,234.00",717.57,729.00,"12,420,630.40",109,10.56,15.90,1.47,2.22,1.02,737.11,718.25,831.00,523.00
ANLB,-,"5,030.00","5,078.00","4,951.70","4,990.47","5,020.77",112.00,"5,011.73","5,000.00","562,326.00",11,-21.26,126.30,-0.42,2.55,-0.61,"5,088.01","4,425.51","6,735.00","1,894.00"
API,-,263.00,269.90,263.00,268.45,266.81,"87,282.00",262.16,269.00,"23,287,880.90",396,6.29,6.90,2.40,2.62,0.61,283.70,272.30,390.00,162.00
AVYAN,-,"1,000.00","1,016.00",996.00,"1,003.52","1,008.66","3,615.00",996.37,"1,000.10","3,646,291.20",46,7.15,20.00,0.72,2.01,-0.51,"1,043.69","1,029.37","1,306.80",628.10
BARUN,-,496.00,509.90,488.00,506.93,501.43,"72,931.00",494.25,507.80,"36,569,862.60",347,12.68,21.90,2.57,4.49,1.08,429.21,400.66,550.00,211.00
BBC,-,"5,125.00","5,296.00","5,125.00","5,264.20","5,240.83",250.00,"5,211.40","5,236.00","1,310,208.00",20,52.80,171.00,1.01,3.34,0.44,"5,239.48","4,952.65","7,247.00","3,631.00"
BEDC,-,780.00,795.00,754.60,771.88,775.69,"13,805.00",768.68,782.00,"10,708,446.80",182,3.20,40.40,0.42,5.35,-0.49,665.66,597.85,"1,080.00",337.20
BFC,-,544.00,554.70,538.00,549.04,546.72,"18,005.00",536.15,549.80,"9,843,761.40",160,12.89,16.70,2.40,3.10,0.42,654.64,623.42,951.60,330.00
BGWT,-,"1,000.00","1,010.00",980.70,"1,001.80","1,001.41","3,670.00",986.90,"1,008.00","3,675,175.00",49,14.90,29.30,1.51,2.99,0.04,"1,023.63","1,007.51","1,361.70",579.10
BHDC,-,575.00,582.00,565.30,579.40,574.30,"7,233.00",573.32,576.00,"4,153,922.40",99,6.08,16.70,1.06,2.95,0.88,649.18,641.09,829.70,443.00
BHL,-,323.30,335.00,323.30,331.64,330.20,"2,802.00",329.72,332.00,"925,220.40",34,1.92,11.70,0.58,3.62,0.43,387.75,394.07,520.00,312.70
BHPL,-,"1,004.00","1,044.80","1,004.00","1,031.08","1,025.39","8,970.00","1,024.42","1,034.00","9,197,766.00",52,6.66,40.80,0.65,4.06,0.55,876.85,812.24,"1,275.00",449.00
BNHC,-,483.00,518.00,480.00,503.11,492.54,"7,122.00",482.14,508.90,"3,507,859.70",93,20.97,38.00,4.35,7.92,2.10,511.12,549.30,742.00,422.00
BNT,-,"12,800.00","13,100.00","12,800.00","13,081.45","13,025.61",223.00,"12,949.00","13,094.00","2,904,710.00",19,132.45,300.00,1.02,2.34,0.43,"13,939.09","14,143.24","18,100.00","12,208.10"
BPCL,-,380.70,393.00,380.70,388.85,388.50,"8,759.00",384.90,385.00,"3,402,894.40",78,3.95,12.30,1.03,3.23,0.09,420.29,407.05,536.50,284.40
C30MF,-,9.00,9.18,9.00,9.17,9.17,"10,535.00",8.83,9.17,"96,593.30",3,0.34,0.18,3.85,2.00,0.01,9.43,9.47,10.92,8.13
CBBL,-,835.00,835.00,824.00,832.33,829.61,"6,260.00",825.72,832.00,"5,193,355.50",137,6.61,11.00,0.80,1.33,0.33,913.59,929.58,"1,155.00",800.00
CCBD88,-,"1,120.00","1,132.00","1,120.00","1,132.00","1,131.62",26.00,"1,120.00","1,132.00","29,422.00",3,12.00,12.00,1.07,1.07,0.03,"1,125.08","1,093.43","1,250.00","1,000.00"
CFCL,-,544.00,550.00,540.20,544.19,547.10,"16,663.00",538.08,541.40,"9,116,251.60",136,6.11,9.80,1.14,1.81,-0.53,615.04,607.77,820.00,338.00
CGH,-,857.10,869.60,855.00,864.24,862.66,"16,901.00",858.93,862.00,"14,579,780.50",171,5.31,14.60,0.62,1.71,0.18,914.54,951.36,"1,360.00",760.00
CHCL,-,482.00,483.00,476.50,478.53,479.54,"33,332.00",476.91,480.10,"15,983,913.00",198,1.62,6.50,0.34,1.36,-0.21,545.52,543.53,697.00,426.30
CHDC,-,"2,110.00","2,190.00","2,110.00","2,168.20","2,166.86","40,565.00","2,122.97","2,170.90","87,898,755.30",465,45.23,80.00,2.13,3.79,0.06,"1,855.30","1,730.46","2,477.40",627.00
CHL,-,520.00,520.00,505.00,515.28,514.92,"22,192.00",510.74,514.00,"11,427,148.70",110,4.54,15.00,0.89,2.97,0.07,428.04,404.33,599.70,285.00
CIT,-,"1,980.00","1,980.00","1,940.00","1,952.13","1,948.94","9,527.00","1,946.43","1,954.00","18,567,583.70",210,5.70,40.00,0.29,2.06,0.16,"2,096.92","2,137.38","2,700.00","1,887.00"
CITY,-,821.00,845.00,821.00,839.09,834.97,"3,527.00",821.63,844.90,"2,944,923.50",78,17.46,24.00,2.13,2.92,0.49,884.12,869.80,"1,168.50",562.00
CIZBD86,-,"1,104.20","1,104.20","1,104.20","1,107.80","1,107.80",3.00,"1,104.20","1,104.20","3,323.40",1,3.60,0.00,0.33,0.00,0.00,0.00,0.00,"1,147.20","1,000.30"
CIZBD90,-,"1,120.00","1,120.00","1,120.00","1,120.00","1,120.00",27.00,"1,120.00","1,120.00","30,240.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,205.00","1,000.00"
CKHL,-,675.00,709.90,675.00,706.50,692.71,"3,675.00",685.03,708.00,"2,545,722.50",52,21.47,34.90,3.13,5.17,1.95,733.11,705.00,910.00,480.50
CLI,-,495.10,501.90,495.00,500.43,498.33,"26,613.00",494.69,501.90,"13,262,143.60",348,5.74,6.90,1.16,1.39,0.42,672.42,644.78,774.90,430.00
CMF2,-,9.30,9.30,9.10,9.29,9.24,"1,600.00",9.16,9.29,"14,782.00",5,0.13,0.20,1.42,2.20,0.55,9.50,9.43,10.68,7.65
