Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,45.89,924.00,939.90,924.00,937.00,936.17,364.00,942.80,"340,765.00",16,-5.80,15.90,-0.62,1.72,0.09,"1,268.35","1,352.54","1,870.00",850.00
ADBL,40.73,369.00,369.00,362.00,366.00,363.87,"8,992.00",366.00,"3,271,908.10",144,0.00,7.00,0.00,1.93,0.58,417.20,457.08,620.00,352.00
ADBLD83,25.81,958.00,958.00,958.00,958.00,958.00,50.00,952.00,"47,900.00",1,6.00,0.00,0.63,0.00,0.00,"1,031.03",-,"1,150.00",951.30
AHPC,44.59,402.70,425.00,396.10,421.00,410.86,"131,019.00",407.00,"53,830,857.80",642,14.00,28.90,3.44,7.30,2.41,472.87,503.64,785.00,329.00
AIL,43.18,574.00,600.00,573.30,582.00,580.00,"1,335.00",585.00,"774,304.00",36,-3.00,26.70,-0.51,4.66,0.34,688.35,713.77,976.00,573.10
AKJCL,43.81,236.00,249.00,223.50,239.00,233.98,"31,738.00",232.00,"7,426,075.30",234,7.00,25.50,3.02,11.41,2.10,291.06,316.15,502.00,206.00
AKPL,46.80,433.00,472.20,426.40,464.00,452.95,"80,103.00",441.20,"36,282,334.50",531,22.80,45.80,5.17,10.74,2.38,515.18,541.61,882.40,361.00
ALBSL,46.84,"1,329.00","1,351.00","1,303.00","1,343.00","1,336.63","1,824.00","1,329.00","2,438,014.20",29,14.00,48.00,1.05,3.68,0.47,"1,432.73","1,536.10","2,101.20","1,176.00"
ALICL,41.44,690.00,690.00,644.00,651.00,653.96,"33,536.00",678.00,"21,931,119.00",305,-27.00,46.00,-3.98,7.14,-0.45,995.68,"1,092.35","1,565.00",644.00
API,48.08,295.00,309.00,290.00,307.10,299.56,"103,864.00",295.00,"31,113,370.20",462,12.10,19.00,4.10,6.55,2.46,444.02,464.28,670.00,273.00
BARUN,56.24,475.00,504.00,445.00,495.00,477.45,"35,811.00",468.00,"17,097,784.70",239,27.00,59.00,5.77,13.26,3.55,481.26,500.37,763.40,345.60
