Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
ACLBSL,23.10,996.40,997.00,970.00,970.00,970.00,0.00,0.00,986.74,175.00,"1,016.64","172,680.00",8,-46.64,27.00,-4.59,2.78,-1.73,"1,071.65","1,083.26","1,284.90",965.00
ADBL,21.02,310.90,310.90,293.00,298.70,298.70,0.00,0.00,299.25,"3,170.00",317.16,"948,638.00",31,-18.46,17.90,-5.82,6.11,-0.19,302.39,302.56,400.00,272.30
AHL,34.49,617.00,629.00,616.50,616.50,616.50,0.00,0.00,617.94,90.00,605.05,"55,615.00",3,11.45,12.50,1.89,2.03,-0.23,662.73,700.41,891.00,577.40
AHPC,22.81,277.00,277.00,260.80,268.00,268.00,0.00,0.00,266.67,"45,206.00",282.24,"12,055,123.70",135,-14.24,16.20,-5.05,6.21,0.50,285.43,277.01,334.00,239.30
AKJCL,21.37,188.00,188.00,173.00,173.00,173.00,0.00,0.00,180.29,"12,385.00",191.33,"2,232,859.00",43,-18.33,15.00,-9.58,8.67,-4.21,207.91,206.72,233.50,173.00
AKPL,19.97,247.70,247.70,227.50,238.00,238.00,0.00,0.00,233.93,"27,541.00",252.68,"6,442,790.00",116,-14.68,20.20,-5.81,8.88,1.71,254.55,248.96,306.50,211.30
ALICL,20.42,462.80,462.80,462.80,462.80,462.80,0.00,0.00,462.80,220.00,472.22,"101,816.00",4,-9.42,0.00,-1.99,0.00,0.00,595.65,645.82,831.00,462.80
API,18.10,281.60,281.60,258.80,260.10,260.10,0.00,0.00,261.72,"22,003.00",287.28,"5,758,713.80",85,-27.18,22.80,-9.46,8.81,-0.62,293.02,286.84,335.00,246.20
AVYAN,33.11,"1,013.30","1,013.30","1,013.30","1,013.30","1,013.30",0.00,0.00,"1,013.30",10.00,993.45,"10,133.00",1,19.85,0.00,2.00,0.00,0.00,"1,045.89","1,065.32","1,306.80",832.00
BARUN,24.53,309.40,310.00,298.00,298.00,298.00,0.00,0.00,307.21,"4,220.00",315.70,"1,296,440.00",18,-17.70,12.00,-5.61,4.03,-3.09,444.93,448.35,589.00,296.10
BBC,22.38,"4,945.50","5,100.00","4,565.00","4,566.10","4,566.10",0.00,0.00,"4,854.31",340.00,"5,046.38","1,650,464.00",27,-480.28,535.00,-9.52,11.72,-6.31,"5,576.42","5,648.69","7,247.00","4,010.00"
BEDC,24.71,611.20,611.20,577.00,577.00,577.00,0.00,0.00,610.04,600.00,623.58,"366,024.00",5,-46.58,34.20,-7.47,5.93,-5.73,732.15,748.62,"1,080.00",417.10
BFC,20.44,455.80,455.80,419.80,419.80,419.80,0.00,0.00,432.72,"1,986.00",465.09,"859,382.00",25,-45.29,36.00,-9.74,8.58,-3.08,509.90,558.74,951.60,419.80
BGWT,23.09,864.90,864.90,850.00,850.00,850.00,0.00,0.00,857.45,20.00,882.50,"17,149.00",2,-32.50,14.90,-3.68,1.75,-0.88,955.00,993.64,"1,241.00",850.00
BHCL,16.98,449.80,449.80,413.10,416.00,416.00,0.00,0.00,433.79,"1,814.00",458.92,"786,893.50",55,-42.92,36.70,-9.35,8.88,-4.28,0.00,0.00,625.70,292.10
BHDC,23.87,550.90,550.90,550.90,550.90,550.90,0.00,0.00,550.90,200.00,562.12,"110,180.00",1,-11.22,0.00,-2.00,0.00,0.00,537.45,585.54,760.20,426.00
BHL,20.31,180.50,180.50,167.00,167.00,167.00,0.00,0.00,170.72,"40,058.00",184.10,"6,838,818.10",137,-17.10,13.50,-9.29,8.08,-2.23,229.42,274.82,520.00,167.00
BHPL,28.35,660.10,660.10,660.10,660.10,660.10,0.00,0.00,660.10,90.00,671.55,"59,409.00",4,-11.45,0.00,-1.71,0.00,0.00,882.37,916.95,"1,308.40",655.10
BNHC,25.42,469.90,469.90,462.00,462.00,462.00,0.00,0.00,468.32,"1,000.00",479.46,"468,320.00",6,-17.46,7.90,-3.64,1.71,-1.37,513.74,516.33,608.00,440.00
BNT,23.41,"11,222.00","11,222.00","11,222.00","11,222.00","11,222.00",0.00,0.00,"11,222.00",17.00,"11,451.00","190,774.00",1,-229.00,0.00,-2.00,0.00,0.00,"12,608.12","12,943.71","15,620.00","11,222.00"
BPCL,17.97,784.30,784.30,725.00,727.10,727.10,0.00,0.00,732.67,"13,203.00",800.21,"9,673,463.30",75,-73.11,59.30,-9.14,8.18,-0.77,673.52,583.91,"1,065.00",375.10
C30MF,25.68,9.08,9.08,9.08,9.08,9.08,0.00,0.00,9.08,400.00,9.09,"3,632.00",1,-0.01,0.00,-0.11,0.00,0.00,9.65,9.52,10.71,8.65
CBBL,16.92,993.30,993.30,916.30,925.00,925.00,0.00,0.00,937.43,"4,342.00","1,013.50","4,070,317.70",46,-88.50,77.00,-8.73,8.40,-1.34,936.60,917.26,"1,144.80",821.50
CFCL,23.10,474.00,474.00,467.00,467.00,467.00,0.00,0.00,472.83,60.00,483.35,"28,370.00",2,-16.35,7.00,-3.38,1.50,-1.25,538.48,559.74,745.90,457.70
CGH,15.37,"1,005.00","1,005.00",888.00,888.00,888.00,0.00,0.00,936.77,"2,808.00",986.47,"2,630,445.50",22,-98.47,117.00,-9.98,13.18,-5.49,941.48,928.33,"1,150.00",842.10
CHCL,20.59,488.00,490.00,456.00,464.00,464.00,0.00,0.00,471.73,"10,795.00",497.36,"5,092,344.40",57,-33.36,34.00,-6.71,7.46,-1.67,513.54,518.43,610.00,456.00
